SNO	Catalog	EGRET Name	Target Name	RA / degrees	Dec / degrees	l / degrees	b /degrees	DM / pc cm-3							

1	3EG	J0038-0949	G0038		9.74		-9.82		112.69		-72.44		30.87		
2	3EG	J0159-3603	G0159		29.84		-36.06		248.89		-73.04		29.34		
3	3EG	J0245+1758	G0245		41.36		17.97		157.62		-37.11		46.24		
4	3EG	J0348-5708	G0348		57.12		-57.14		269.35		-46.79		37.65		
5	3EG	J0404+0700	G0404		61.15		7.00		184.00		-32.15		51.90		
6	3EG	J0407+1710	G0407		61.82		17.18		175.63		-25.06		65.39		
7	3EG	J0426+1333	G0426		66.67		13.56		181.98		-23.82		67.26		
8	3EG	J0429+0337	G0429		67.42		3.63		191.44		-29.08		55.12		
9	3EG	J0439+1105	G0439B		69.81		11.09		186.14		-22.87		68.72		
10	3EG	J0442-0033	G0439A		70.55		-0.55		197.39		-28.68		54.67		
11	3EG	J0512-6150	G0512		78.15		-61.84		271.25		-35.28		47.67		
12	3EG	J0530-3626	G0530		82.54		-36.44		240.94		-31.29		48.09		
13	3EG	J0556+0409	G0556		89.06		4.15		202.81		-10.29		118.72		
14	3EG	J0616-3310	G0616		94.15		-33.17		240.35		-21.24		65.17		
15	3EG	J0812-0646	G0812		123.14		-6.78		228.64		14.62		89.29		
16	3EG	J0903-3531	G0903		135.79		-35.53		259.40		7.40		329.01	
17	3EG	J1134-1530	G1134		173.66		-15.50		277.04		43.48		42.60	
18	3EG	J1219-1520	G1219		184.82		-15.34		291.56		46.82		39.79	
19	3EG	J1234-1318	G1234		188.51		-13.31		296.43		49.34		38.01	
20	3EG	J1235+0233	G1235		188.81		2.56		293.28		65.13		30.03	
21	3EG	J1310-0517	G1310		197.60		-5.30		311.69		57.25		32.11	
22	3EG	J1314-3431	G1314		198.51		-34.52		308.21		28.12		69.67	
23	3EG	J1316-5244	G1316		199.24		-52.75		306.85		9.93		224.29	
24	3EG	J1457-1903	G1457		224.42		-19.06		339.88		34.60		51.40	
25	3EG	J1504-1537	G1504		226.20		-15.63		344.04		36.38		47.40	
26	3EG	J1616-2221	G1616		244.03		-22.37		353.00		20.03		104.93	
27	3EG	J1627-2419	G1627		246.98		-24.33		353.36		16.71		132.69	
28	3EG	J1631-1018	G1631		247.78		-10.30		5.55		24.94		76.76	
29	3EG	J1634-1434	G1634		248.53		-14.57		2.33		21.78		93.11	
30	3EG	J1638-2749	G1638		249.67		-27.83		352.25		12.59		187.91	
31	3EG	J1646-0704	G1646		251.62		-7.08		10.85		23.69		81.71	
32	3EG	J1649-1611	G1649		252.42		-16.20		3.35		17.80		121.22	
33	3EG	J1652-0223	G1652		253.02		-2.40		15.99		25.05		79.11	
34	3EG	J1717-2737	G1717		259.30		-27.63		357.67		5.95		425.51	
35	3EG	J1719-0430	G1719		259.79		-4.51		17.80		18.17		114.18	
36	3EG	J1720-7820	G1720		260.22		-78.34		314.56		-22.17		93.14	
37	3EG	J1726-0807	G1726		261.61		-8.12		15.52		14.77		149.61	
38	3EG	J1741-2050	G1741		265.41		-20.84		6.44		5.00		492.16	
39	3EG	J1744-3934	G1744		266.20		-39.57		350.81		-5.38		469.29	
40	3EG	J1746-1001	G1746		266.50		-10.03		16.34		9.64		245.19	
41	3EG	J1800-0146	G1800		270.22		-1.78		25.49		10.39		210.97	
42	3EG	J1822+1641	G1822		275.57		16.70		44.84		13.84		124.64	
43	3EG	J1825-7926	G1825		276.26		-79.44		314.56		-25.44		79.04	
44	3EG	J1828+0142	G1828		277.25		1.72		31.90		5.78		368.04	
45	3EG	J1834-2803	G1834		278.59		-28.06		5.92		-8.97		260.53	
46	3EG	J1836-4933	G1836		279.52		-49.56		345.93		-18.26		123.93
47	3EG	J1847-3219	G1847		281.90		-32.32		3.21		-13.37		180.19
48	3EG	J1858-2137	G1858		284.61		-21.62		14.21		-11.15		203.00
49	3EG	J1904-1124	G1904		286.21		-11.41		24.22		-8.12		281.58
50	3EG	J1940-0121	G1940		295.23		-1.36		37.41		-11.62		165.70
51	3EG	J1949-3456	G1949		297.29		-34.94		5.25		-26.29		80.02
52	3EG	J2034-3110	G2034		308.73		-31.18		12.25		-34.64		57.62
53	3EG	J2219-7941	G2219		335.00		-79.69		310.64		-35.06		54.46
54	3EG	J2243+1509	G2243		340.78		15.17		82.69		-37.49		82.69
55	3EG	J2251-1341	G2251		342.80		-13.69		52.48		-58.91		33.31
56	3EG	J2255-5012	G2255		343.99		-50.21		338.75		-58.12		35.07
