BEAM        RA(J2000)  DEC(J2000)
	    
PLMC017_01  04:45:34.0 -71:29:52.1
PLMC017_02  04:39:27.4 -71:29:34.4
PLMC017_03  04:42:33.8 -71:04:37.3
PLMC017_04  04:48:32.6 -71:04:33.1
PLMC017_05  04:51:40.5 -71:29:25.6
PLMC017_06  04:48:42.2 -71:54:55.6
PLMC017_07  04:42:27.4 -71:55:00.1
PLMC017_08  04:36:08.5 -71:54:29.9
PLMC017_09  04:36:31.3 -71:03:46.6
PLMC017_10  04:45:32.5 -70:39:06.8
PLMC017_11  04:54:35.0 -71:03:33.7
PLMC017_12  04:55:01.0 -71:54:16.4
PLMC017_13  04:45:35.7 -72:20:37.3
PLMC018_01  04:48:29.0 -71:31:26.9
PLMC018_02  04:45:28.6 -71:06:12.2
PLMC018_03  04:51:27.9 -71:06:07.9
PLMC018_04  04:54:36.0 -71:31:00.5
PLMC018_05  04:51:37.5 -71:56:30.5
PLMC018_06  04:45:22.1 -71:56:34.9
PLMC018_07  04:42:21.9 -71:31:09.1
PLMC018_08  04:39:25.6 -71:05:21.3
PLMC018_09  04:48:27.5 -70:40:41.7
PLMC018_10  04:57:30.7 -71:05:08.6
PLMC018_11  04:57:56.8 -71:55:51.3
PLMC018_12  04:48:30.6 -72:22:12.2
PLMC018_13  04:39:02.7 -71:56:04.6
PLMC019_01  04:47:18.0 -71:18:37.0
PLMC019_02  04:50:14.9 -70:53:18.8
PLMC019_03  04:53:21.0 -71:18:11.3
PLMC019_04  04:50:24.4 -71:43:41.4
PLMC019_05  04:44:13.3 -71:43:46.3
PLMC019_06  04:41:15.0 -71:18:20.9
PLMC019_07  04:44:19.5 -70:53:23.5
PLMC019_08  04:47:16.3 -70:27:52.7
PLMC019_09  04:56:13.8 -70:52:19.5
PLMC019_10  04:56:39.5 -71:43:02.2
PLMC019_11  04:47:19.8 -72:09:23.2
PLMC019_12  04:37:58.2 -71:43:17.0
PLMC019_13  04:38:20.4 -70:52:33.7
PLMC020_01  04:44:26.0 -71:16:59.0
PLMC020_02  04:38:23.5 -71:16:43.7
PLMC020_03  04:41:27.6 -70:51:45.9
PLMC020_04  04:47:22.5 -70:51:40.5
PLMC020_05  04:50:28.5 -71:16:32.7
PLMC020_06  04:47:32.3 -71:42:03.1
PLMC020_07  04:41:21.7 -71:42:08.7
PLMC020_08  04:35:07.1 -71:41:40.2
PLMC020_09  04:35:29.0 -70:50:56.8
PLMC020_10  04:44:24.1 -70:26:14.7
PLMC020_11  04:53:21.0 -70:50:40.6
PLMC020_12  04:53:46.8 -71:41:23.2
PLMC020_13  04:44:28.1 -72:07:45.2
PLMC021_01  04:42:25.0 -69:50:09.0
PLMC021_02  04:39:38.7 -69:24:55.0
PLMC021_03  04:45:09.7 -69:24:51.2
PLMC021_04  04:48:02.4 -69:49:44.9
PLMC021_05  04:45:18.0 -70:15:13.8
PLMC021_06  04:39:33.6 -70:15:18.8
PLMC021_07  04:36:47.5 -69:49:54.8
PLMC021_08  04:34:04.3 -69:24:09.7
PLMC021_09  04:42:23.4 -68:59:24.7
PLMC021_10  04:50:43.9 -69:23:55.1
PLMC021_11  04:51:06.1 -70:14:38.1
PLMC021_12  04:42:26.8 -70:40:55.2
PLMC021_13  04:33:45.5 -70:14:53.3
PLMC022_01  04:45:06.0 -69:51:55.0
PLMC022_02  04:47:51.0 -69:26:37.4
PLMC022_03  04:50:43.9 -69:51:31.4
PLMC022_04  04:47:59.2 -70:17:00.0
PLMC022_05  04:42:14.3 -70:17:04.6
PLMC022_06  04:39:28.0 -69:51:40.3
PLMC022_07  04:42:19.6 -69:26:41.8
PLMC022_08  04:45:04.5 -69:01:10.7
PLMC022_09  04:53:25.7 -69:25:41.7
PLMC022_10  04:53:47.8 -70:16:24.8
PLMC022_11  04:45:07.6 -70:42:41.2
PLMC022_12  04:36:25.7 -70:16:38.5
PLMC022_13  04:36:44.7 -69:25:54.9
PLMC023_01  04:44:04.0 -69:39:02.9
PLMC023_02  04:46:47.4 -69:13:44.5
PLMC023_03  04:49:38.5 -69:38:38.8
PLMC023_04  04:46:55.4 -70:04:07.1
PLMC023_05  04:41:14.0 -70:04:11.4
PLMC023_06  04:38:29.4 -69:38:47.2
PLMC023_07  04:41:19.2 -69:13:48.6
PLMC023_08  04:44:02.7 -68:48:17.6
PLMC023_09  04:52:18.8 -69:12:49.5
PLMC023_10  04:52:40.3 -70:03:32.7
PLMC023_11  04:44:05.5 -70:29:48.2
PLMC023_12  04:35:29.0 -70:03:45.6
PLMC023_13  04:35:47.7 -69:13:01.0
PLMC024_01  04:41:24.0 -69:37:12.0
